,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
M_pred[22],0.0825,0.00450692,0.284102,0.0,0.0,1.0,3973.65,987.733,0.999522
M_pred[23],0.0875,0.00473125,0.293028,0.0,0.0,1.0,3835.89,953.489,0.99953
M_pred[24],0.0825,0.00459599,0.278771,0.0,0.0,1.0,3679.05,914.504,1.0026
M_pred[25],0.082,0.00465866,0.286001,0.0,0.0,1.0,3768.89,936.835,1.00089
M_pred[26],0.08625,0.00472476,0.296366,0.0,0.0,1.0,3934.58,978.021,1.00053
M_pred[27],0.0865,0.00477964,0.297557,0.0,0.0,1.0,3875.68,963.382,1.00144
M_pred[28],0.0895,0.00469954,0.30002,0.0,0.0,1.0,4075.6,1013.07,0.999112
M_pred[29],0.08075,0.00472764,0.287663,0.0,0.0,1.0,3702.36,920.299,0.999579
M_pred[30],0.08625,0.00466197,0.293824,0.0,0.0,1.0,3972.25,987.384,1.00284
M_pred[31],0.07875,0.00456706,0.274895,0.0,0.0,1.0,3622.94,900.556,1.00059
M_pred[32],0.08425,0.00460526,0.2927,0.0,0.0,1.0,4039.59,1004.12,1.00016
M_pred[33],0.08875,0.00470713,0.297314,0.0,0.0,1.0,3989.5,991.673,0.999775
M_pred[34],0.085,0.00458359,0.29291,0.0,0.0,1.0,4083.74,1015.1,0.999766
M_pred[35],0.08025,0.0044828,0.28606,0.0,0.0,1.0,4072.08,1012.2,1.00046
M_pred[36],0.0855,0.00475571,0.293618,0.0,0.0,1.0,3811.83,947.51,1.00033
M_pred[37],0.0845,0.00452223,0.28789,0.0,0.0,1.0,4052.72,1007.39,1.00013
M_pred[38],0.09125,0.00481287,0.300742,0.0,0.0,1.0,3904.64,970.58,0.999612
M_pred[39],0.079,0.0045269,0.285095,0.0,0.0,1.0,3966.23,985.889,0.999358
M_pred[40],0.07825,0.00470949,0.282218,0.0,0.0,1.0,3591.05,892.63,1.00019
M_pred[41],0.0425,0.00323622,0.20665,0.0,0.0,0.0,4077.53,1013.55,0.999987
M_pred[42],0.087,0.00451095,0.291466,0.0,0.0,1.0,4174.83,1037.74,0.99949
